Problem,Obj_Value,GuRoBi_time
chromaticindex1024-7.mps,3.0,3.9898853302001953
cont1.mps,0.008782486003731119,19.324462890625
cont11.mps,61.03241168076038,21.495792388916016
datt256_lp.mps,9.9999999999999e13,9.9999999999999e13
degme.mps,-4.691519260798536e6,70.77388954162598
ex10.mps,99.99999999999983,9.34907341003418
fhnw-binschedule0_lp.mps,12632.888779144976,1.9284248352050781
fome13.mps,9.013116837337786e7,1.8819332122802734
graph40-40_lp.mps,-300.0,50.20344924926758
irish-electricity.mps,2.54625456318013e6,5.604597091674805
karted.mps,-472951.70386903564,66.33370780944824
L1_sixm1000obs.mps,17199.14925054678,41.78572463989258
L1_sixm250obs.mps,4629.4627947583795,6.837797164916992
Linf_520c.mps,0.19886846999999996,11.441835403442383
neos-3025225_lp.mps,0.05257405202866696,35.09476089477539
neos-5052403-cygnet.mps,179.50037100658975,6.27739143371582
neos-5251015_lp.mps,0.1058,13.318584442138672
neos.mps,2.254254922047545e8,11.448417663574219
neos3.mps,27777.777777777766,3.400388717651367
ns1687037.mps,9.9999999999999e13,9.9999999999999e13
ns1688926.mps,262.1358272305888,8.711076736450195
nug08-3rd.mps,214.0000000003702,19.274520874023438
pds-100.mps,1.0928229968000004e10,31.96908950805664
physiciansched3-3.mps,2.432694766158781e6,29.372156143188477
qap15.mps,1040.994040958517,1.355936050415039
rail4284.mps,1054.054491274844,29.741594314575195
rmine15_lp.mps,-5042.4829629755495,101.11909294128418
s100.mps,-0.17109675893254567,11.288503646850586
s250r10.mps,-0.17267704190548078,7.430667877197266
s82_lp.mps,-34.579710818244855,161.48684310913086
savsched1.mps,217.40357142857113,104.0130558013916
scpm1_lp.mps,413.78208601624004,24.44242286682129
self.mps,0.0,12.551774978637695
square41.mps,8.83961248655513,3.1967525482177734
stat96v1.mps,1.9637780943375647,18.24604606628418
stormG2_1000.mps,1.5802591120880423e7,33.675254821777344
supportcase10.mps,3.3839236661380045,6.428422927856445
tp-6.mps,-1.319465190049967e7,47.47152519226074
tpl-tub-ws1617_lp.mps,120698.03424047244,75.67729568481445
ts-palko.mps,-14902.371874425946,57.264699935913086
