status,Clp,FICO_Xpress,GuRoBi,IBM_CPLEX,HiGHS,Mosek,Tulip
Unscaled Geometric Mean,343.10834342595166,70.96156260594354,22.268189617571643,44.63010966188731,552.0654034281577,51.76602808665815,381.8248110898274
Scaled Geometric Mean,15.408003493701514,3.186678568155732,1.0,2.0042091624130083,24.791660790984437,2.3246626230364957,17.146648095206295
Optimal,25.0,33.0,35.0,34.0,21.0,31.0,20.0
Time Limit,6.0,2.0,0.0,0.0,7.0,3.0,6.0
Fail,4.0,0.0,0.0,1.0,7.0,1.0,9.0
