status,Clp,FICO_Xpress,GuRoBi,IBM_CPLEX,HiGHS,Mosek
Unscaled Geometric Mean,493.14337805507347,77.08924858150729,48.922739866424656,64.52985270388906,552.0654034281577,496.84284330591316
Scaled Geometric Mean,10.080044155366581,1.5757344905863115,1.0,1.3190155105800905,11.284433474811095,10.155662676752351
Optimal,23.0,33.0,34.0,30.0,21.0,22.0
Time Limit,8.0,2.0,1.0,5.0,7.0,10.0
Fail,4.0,0.0,0.0,0.0,7.0,3.0
