Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
qap15.mps,Optimal,1040.994041,0,1702.288,1702.306457,Optimal,1040.994041,49705,11.0309999,11.401251,Optimal,1040.994041,53410,10.10245132,10.1294929,Optimal,1040.994041,46701,9.368000031,9.3956481,Optimal,1040.994066,480769,785.375,785.4096118
rail4284.mps,Optimal,1054.054491,0,991.8789999,993.7950018,Optimal,1054.054491,105059,36.15400004,42.5656065,Optimal,1054.054491,82447,27.73830414,29.9287072,Optimal,1054.054491,116286,50.06500006,54.337285,Optimal,1054.054491,69495,1008.578,1011.934476
rmine15_lp.mps,Optimal,-5042.482963,0,353.7360001,353.936221,Optimal,-5042.482963,362792,268.9810002,269.4769098,Optimal,-5042.482963,258089,348.0390797,348.4817902,Optimal,-5042.482963,97585,123.5039999,124.2020409,Time Limit,-5033.233735,317000,1200,1204.73194
s100.mps,Optimal,-0.171096756,0,816.0929999,816.5305239,Optimal,-0.171096759,176096,239.217,240.8805118,Optimal,-0.171096756,77762,80.77103615,81.2605649,Optimal,-0.171096756,214176,354.0999999,354.8749089,Optimal,-0.158728044,78190,28.516,29.2671037
s250r10.mps,Optimal,-0.172677042,0,246.71,247.1946301,Optimal,-0.172677042,120073,32.35699987,33.542377,Optimal,-0.172677042,67451,14.7116375,15.0822651,Optimal,-0.172677042,68649,15.29100013,15.9459211,Optimal,-0.154430889,78830,18.718,19.2504463
s82_lp.mps,Infeasible,Inf,0,Inf,8.2754875,Optimal,-34.40230717,323016,974.4230001,985.0044756,Optimal,-34.57971082,404501,1100.270538,1103.153145,Optimal,-34.57971082,218030,783.973,790.6711944,Time Limit,-34.01423546,520000,1200,1211.25514
savsched1.mps,Infeasible,Inf,0,Inf,1800.206273,Optimal,217.4035714,119906,87.02999997,89.0081521,Optimal,217.4035714,199312,494.2698631,494.8692942,Optimal,217.4035714,108611,302.4100001,303.5129185,Optimal,217.4035446,320609,882.859,884.4175525
scpm1_lp.mps,Optimal,413.782086,0,508.7820001,510.0586823,Optimal,413.782086,99970,194.954,199.5521589,Optimal,413.782086,42346,184.8632622,186.2972356,Optimal,413.782086,123439,348.444,350.8950932,Time Limit,390.3264099,65000,1200,1216.097738
self.mps,Optimal,0,0,11.25999999,11.5127558,Optimal,0,10194,16.73199987,17.4307437,Optimal,0,5656,11.62257195,12.0473516,Optimal,0,9216,12.27099991,12.4114484,Optimal,0,0,0.203,0.4112352
square41.mps,Optimal,8.839612487,0,31.44499993,32.481656,Optimal,8.839612487,1223,1.769999981,3.5196021,Optimal,8.839612487,852,2.086294174,3.1864556,Optimal,8.839612487,491,1.749000072,3.3414094,Time Limit,8.88429024,2193427,1200,1201.902134
stat96v1.mps,Infeasible,Inf,0,Inf,1800.016184,Optimal,1.96377783,10411,12.12599993,12.7812708,Optimal,1.963778094,10588,12.47215462,12.7421976,Optimal,1.963776984,8430,9.742999792,9.9941353,Optimal,1.963777566,34626,59.891,60.2362098
stormG2_1000.mps,Optimal,1.58E+07,0,163.6059999,165.376033,Optimal,1.58E+07,718121,41.26600003,48.104761,Optimal,1.58E+07,501360,18.77015495,21.4058017,Optimal,1.58E+07,763567,68.33500004,72.5904376,Optimal,1.58E+07,389085,194.25,198.3846949
supportcase10.mps,Optimal,3.383923666,0,107.8,108.2618435,Optimal,3.383923666,258242,41.66299987,41.8183555,Optimal,3.383923666,112730,15.39042282,15.5237462,Optimal,3.383923666,61579,5.711999893,5.9585577,Optimal,3.383923666,90187,70.391,70.6766682
